Feature,Importance,Std
ASA,0.021917808219178037,0.010066396203218553
Radio_Vessel_encasement,0.020547945205479423,0.01786082850740452
Comorbidities_Obesity,0.002739726027397227,0.003355465401072806
Comorbidities_DM,-0.002739726027397271,0.0033554654010728604
Radio_Tumor Location,-0.0027397260273972933,0.009290862990582557
Radio_Tumor side,-0.005479452054794565,0.011784007215126896
Radio_Dural_tail,-0.00958904109589045,0.009290862990582596
Radio_Pre-Op max_axial_diam_mm,-0.02054794520547949,0.01225242727397145
Symptoms_Motor deficits,-0.021917808219178124,0.005125558064073866
Comorbidities_Other Tumors,-0.02191780821917815,0.002739726027397227
Symptoms_CN deficits,-0.02602739726027401,0.009086643261247664
Age,-0.02602739726027401,0.011784007215126888
ICA/Syphon involvment,-0.027397260273972622,0.004331887205710091
Pre-Op KPS,-0.03835616438356169,0.01817328652249535
Comorbidities_Hypertension,-0.03972602739726032,0.01328131467785294
